Name,Profile,Team,Matches_Played,Total_points,Successful_raids,Raid_points,Successful_tackles,Tackle_points,Avg_raid_points,Avg_tackle_points,Do_or_Die_raid_points,Super_raids,Super_tackles,Super_10s,High_5s,Season
vikash kandola,Raider,Haryana Steelers,16,157,119,153,4,4,9.56,0.25,38,6,,9,,7
manjeet,Raider,Puneri Paltan,20,131,86,104,26,27,5.2,1.35,17,2,1,2,,7
rohit gulia,All Rounder,Gujarat Fortune Giants,20,127,95,118,8,9,5.9,0.45,11,1,1,4,,7
rahul chaudhari,Raider,Tamil Thalaivas,19,125,96,117,8,8,6.16,0.42,24,,,4,,7
shrikant jadhav,Raider,UP Yoddha,18,117,83,114,3,3,6.33,0.17,26,2,,3,,7
pankaj mohite,Raider,Puneri Paltan,16,113,84,110,3,3,6.88,0.19,24,4,,3,,7
abhishek singh,Raider,U Mumba,16,109,93,108,1,1,6.75,0.06,32,2,,6,,7
chandran ranjit,Raider,Dabang Delhi,18,104,76,100,3,4,5.56,0.22,9,3,1,2,,7
k. prapanjan,Raider,Bengal Warriors,18,101,71,99,2,2,5.82,0.11,10,4,,3,,7
vinay,Raider,Haryana Steelers,19,96,66,92,4,4,4.84,0.21,14,6,,2,,7
mohammad esmaeil nabibakhsh,All Rounder,Bengal Warriors,19,95,55,70,23,25,3.68,1.32,7,3,2,1,1,7
rohit kumar,Raider,Bengaluru Bulls,17,92,69,88,4,4,5.18,0.24,11,2,,3,,7
v. ajith kumar,Raider,Tamil Thalaivas,16,91,76,91,,,6.07,0,9,1,,3,,7
sachin tanwar,Raider,Gujarat Fortune Giants,16,85,65,84,1,1,5.25,0.06,23,1,,2,,7
arjun deshwal,Raider,U Mumba,16,78,57,76,2,2,4.75,,11,2,,2,,7
sandeep kumar dhull,Defender,Jaipur Pink Panthers,20,68,,1,60,67,,3.35,,,7,,5,7
more gb,Raider,Gujarat Fortune Giants,17,64,35,43,20,21,2.53,1.24,14,,1,,,7
sumit,Defender,UP Yoddha,18,63,1,2,60,61,0.5,3.39,,,1,,5,7
surender gill,Raider,UP Yoddha,15,62,41,54,7,8,3.6,0.53,24,1,1,,,7
vishal bhardwaj,Defender,Telugu Titans,18,61,,,52,61,0,3.39,,,9,,5,7
nitin tomar,Raider,Puneri Paltan,13,60,49,54,5,6,4.5,0.46,,,1,1,,7
fazel atrachali,Defender,U Mumba,18,59,1,2,54,57,0.22,3.17,,,3,,2,7
prashanth kumar rai,Raider,Haryana Steelers,13,58,45,58,,,4.46,,8,,,1,,7
sandeep narwal,All Rounder,U Mumba,18,58,12,16,37,42,1,2.33,2,,5,,1,7
ajay thakur,Raider,Tamil Thalaivas,13,58,47,58,,,4.46,,8,2,,1,,7
naveen,Raider,Haryana Steelers,14,58,43,56,2,2,4,0.14,10,1,,1,,7
sonu jaglan,Raider,Gujarat Fortune Giants,15,56,42,52,3,4,3.47,,9,3,1,1,,7
baldev singh,Defender,Bengal Warriors,19,56,,,51,56,,2.95,,,5,,6,7
deepak narwal,Raider,Jaipur Pink Panthers,17,56,44,55,1,1,3.24,0.06,12,,,1,,7
ravinder pahal,Defender,Dabang Delhi,19,55,,,55,55,,2.89,,,,,3,7
nilesh salunke,Raider,Jaipur Pink Panthers,17,55,40,53,2,2,3.12,0.12,9,1,,1,,7
po surjeet singh,Defender,Puneri Paltan,19,53,1,2,46,51,0.25,2.68,,,5,,5,7
farhad rahimi milaghardan,All Rounder,Telugu Titans,18,52,20,25,27,27,1.47,1.5,3,,,,,7
neeraj kumar,Defender,Patna Pirates,19,51,,,47,51,,2.68,,,4,,3,7
nitesh kumar,Defender,UP Yoddha,18,51,,1,44,50,,2.78,,,6,,3,7
nitin rawal,All Rounder,Jaipur Pink Panthers,15,51,23,32,15,19,2.46,1.27,8,1,4,,1,7
rinku narwal,Defender,Bengal Warriors,19,51,,,49,51,,2.68,,,2,,3,7
jang kun lee,Raider,Patna Pirates,13,50,37,49,1,1,3.77,0.08,14,,,,,7
surinder singh,Defender,U Mumba,18,49,1,4,43,45,0.8,2.5,,1,2,,2,7
vijay,All Rounder,Dabang Delhi,18,49,29,38,11,11,2.24,0.61,2,2,,1,,7
jaideep,Defender,Patna Pirates,19,48,,,45,48,,2.53,,,3,,3,7
parvesh bhainswal,Defender,Gujarat Fortune Giants,20,48,,,46,48,,2.4,,,2,,4,7
saurabh nandal,Defender,Bengaluru Bulls,18,48,1,1,42,47,,2.61,,,5,,5,7
sunil kumar,Defender,Gujarat Fortune Giants,18,47,1,1,40,46,0.14,2.56,1,,6,,4,7
rishank devadiga,Raider,UP Yoddha,14,47,35,46,1,1,3.29,0.07,6,2,,,,7
monu goyat,Raider,UP Yoddha,10,46,38,43,2,3,4.3,0.3,5,,1,1,,7
rohit baliyan,Raider,U Mumba,15,46,29,42,3,4,2.8,0.27,7,2,1,,,7
mahender singh,Defender,Bengaluru Bulls,16,46,,,39,46,0,2.88,,,7,,3,7
sunil,Defender,Haryana Steelers,17,46,,,45,46,,2.71,,,1,,3,7
rajnish,Raider,Telugu Titans,10,45,31,43,2,2,4.3,0.2,10,1,,2,,7
athul ms,Raider,U Mumba,14,45,32,45,,,3.21,,10,,,,,7
suraj desai,Raider,Telugu Titans,12,45,35,44,1,1,4,0.08,3,1,,1,,7
joginder singh narwal,Defender,Dabang Delhi,19,45,,,41,45,,2.37,,,4,,1,7
dharmaraj cheralathan,Defender,Haryana Steelers,17,44,1,3,37,41,0.33,2.41,,,4,,1,7
hadi oshtorak,All Rounder,Patna Pirates,19,43,4,8,29,35,0.62,1.84,,,6,,1,7
amit sheoran,Defender,Bengaluru Bulls,19,43,,,40,43,,2.26,,,3,,3,7
vishal,All Rounder,Jaipur Pink Panthers,14,41,,,34,41,,2.93,,,7,,1,7
manjeet chhillar,All Rounder,Tamil Thalaivas,15,41,,4,35,37,0.36,2.47,,,2,,2,7
ravi kumar,Defender,Haryana Steelers,17,40,,,35,40,0,2.35,,,5,,3,7
abozar mohajermighani,Defender,Telugu Titans,18,40,,1,36,39,0.2,2.17,,,3,,1,7
sumit singh,Raider,Bengaluru Bulls,15,39,27,36,2,3,2.4,0.2,8,,1,,,7
vikas kale,Defender,Haryana Steelers,18,38,,,36,38,,2.11,,,2,,2,7
mohammad esmaeil maghsoudlou mahalli,Raider,Patna Pirates,17,38,25,31,5,7,1.94,0.41,7,,2,,,7
amit kumar,Raider,Puneri Paltan,13,37,12,17,19,20,1.42,1.54,8,,1,,,7
ran singh,All Rounder,Tamil Thalaivas,18,37,5,9,27,28,0.9,1.56,1,,1,,,7
amit hooda,Defender,Jaipur Pink Panthers,14,37,,1,33,36,,2.57,,,3,,2,7
mohit chhillar,Defender,Tamil Thalaivas,18,37,,,34,37,,2.06,,,3,,1,7
monu,Raider,Patna Pirates,19,36,9,11,18,25,0.79,1.32,2,,7,,,7
jadhav balasaheb shahaji,Defender,Puneri Paltan,18,35,,,28,35,,1.94,,,7,,3,7
sukesh hegde,Raider,Bengal Warriors,12,34,22,33,1,1,2.75,,10,2,,,,7
girish maruti ernak,Defender,Puneri Paltan,15,32,,1,28,31,,2.07,,,3,,1,7
ashu singh,Defender,UP Yoddha,18,32,,,30,32,,1.78,,,2,,,7
jeeva kumar,Defender,Bengal Warriors,18,31,,,30,31,,1.72,,,1,,,7
meraj sheykh,All Rounder,Dabang Delhi,12,31,22,30,1,1,2.5,,4,1,,1,,7
rakesh gowda,Raider,Telugu Titans,9,31,20,22,6,9,2.44,1,2,,3,,,7
shabeer bappu,Raider,Tamil Thalaivas,14,29,17,22,6,7,1.57,0.5,5,,1,,,7
vikas jaglan,All Rounder,Patna Pirates,19,28,7,12,16,16,0.75,0.84,6,,,,,7
anil kumar,Defender,Dabang Delhi,15,27,,,26,27,,1.8,,,1,,,7
pawan kumar kadian,Raider,Puneri Paltan,6,25,19,25,,,4.17,,5,,,1,,7
amit,Defender,UP Yoddha,18,25,1,2,21,23,0.33,1.28,,,2,,,7
vishal mane,Defender,Dabang Delhi,19,24,,,24,24,,1.26,,,,,,7
c. arun,Defender,Telugu Titans,18,23,1,2,18,21,,1.17,,,3,,1,7
pankaj,All Rounder,Gujarat Fortune Giants,9,21,,,21,21,,2.33,,,,,1,7
banty,Raider,Bengaluru Bulls,11,21,13,18,3,3,1.8,0.27,6,,,,,7
sushil gulia,Raider,Jaipur Pink Panthers,7,20,12,19,1,1,2.71,,8,2,,,,7
ajinkya ashok pawar,Raider,Jaipur Pink Panthers,14,19,16,19,,,1.46,,8,,,,,7
shubham shinde,Defender,Puneri Paltan,13,18,1,1,15,17,0.17,1.31,,,2,,,7
amit kumar,All Rounder,Puneri Paltan,6,18,9,16,1,2,2.67,,4,,1,,,7
mohit sehrawat,Defender,Bengaluru Bulls,13,17,4,5,10,12,0.42,0.92,3,,2,,1,7
harendra kumar,Defender,U Mumba,16,17,,,16,17,,1.06,,,1,,1,7
hadi tajik,Defender,Puneri Paltan,12,17,1,1,15,16,0.33,1.33,,,1,,,7
vineet sharma,Raider,Tamil Thalaivas,11,16,3,9,6,7,1.13,0.64,2,,1,,,7
ruturaj shivaji koravi,Defender,Gujarat Fortune Giants,15,15,,,15,15,,1,,,,,,7
sumit malik,Defender,Gujarat Fortune Giants,14,15,,,14,15,,1.07,,,1,,,7
ajeet,Defender,Tamil Thalaivas,14,14,,,13,14,,1,,,1,,,7
santhapanaselvam,All Rounder,Jaipur Pink Panthers,8,14,,,13,14,,1.75,,,1,,,7
sagar b krishna,All Rounder,Puneri Paltan,12,14,,,11,14,,1.17,,,3,,1,7
selvamani k,Raider,Haryana Steelers,7,13,7,11,2,2,1.83,,1,1,,,,7
amit kumar,Raider,Telugu Titans,9,13,2,3,8,10,0.33,1.11,2,,2,,,7
ankit,Defender,Gujarat Fortune Giants,12,13,,,11,13,,1.08,,,2,,,7
sushant sail,Raider,Puneri Paltan,9,12,8,12,,,1.33,,1,,,,,7
sachin narwal,All Rounder,Jaipur Pink Panthers,12,12,7,11,1,1,1,0.08,3,1,,,,7
pavan t. r.,Defender,Jaipur Pink Panthers,15,12,,,10,12,,0.8,,,2,,,7
surender singh,Raider,UP Yoddha,4,11,5,10,1,1,2.5,,5,,,,,7
dong geon lee,Raider,U Mumba,4,10,7,10,,,2.5,,4,,,,,7
vinod kumar,All Rounder,Gujarat Fortune Giants,9,10,6,6,4,4,0.75,0.44,,,,,,7
sagar,Defender,Tamil Thalaivas,10,10,,,9,10,,1,,,1,,,7
sunil siddhgavali,Defender,Jaipur Pink Panthers,14,9,,,6,9,,0.64,,,3,,,7
armaan,All Rounder,Telugu Titans,6,9,6,9,,,1.5,0,2,1,,,,7
victor onyango obiero,All Rounder,Tamil Thalaivas,3,8,4,6,1,2,2,,,,1,,,7
emad sedaghatnia,Raider,Puneri Paltan,2,8,5,8,,,4,,,,,,,7
ankit beniwal,Raider,Telugu Titans,6,8,5,7,1,1,1.17,,,,,,,7
kuldeep singh,Defender,Haryana Steelers,9,8,,,8,8,,0.89,,,,,,7
mohsen maghsoudloujafari,All Rounder,UP Yoddha,11,8,4,5,2,3,0.63,0.27,3,,1,,,7
saeid ghaffari,Defender,Dabang Delhi,9,8,,,8,8,,0.89,,,,,,7
darshan kadian,Raider,Puneri Paltan,7,8,4,7,1,1,1,0.14,1,,,,,7
m. abishek,Defender,Tamil Thalaivas,6,8,,,8,8,,1.33,,,,,,7
ankush,Raider,UP Yoddha,3,7,4,6,1,1,2,,2,,,,,7
chand singh,Defender,Haryana Steelers,9,7,1,1,5,6,,0.67,,,1,,,7
sanket sawant,Defender,Puneri Paltan,5,7,,,7,7,,1.4,,,,,,7
viraj vishnu landge,Defender,Bengal Warriors,8,7,,,7,7,,0.88,,,,,,7
young chang ko,Defender,U Mumba,10,6,,,4,6,,0.6,,,2,,,7
anand,Raider,Tamil Thalaivas,5,6,3,6,,,1.2,,3,1,,,,7
azad singh,Raider,UP Yoddha,4,6,3,6,,,1.5,,,,,,,7
ankit,Defender,Bengaluru Bulls,7,6,,,5,6,0,0.86,,,1,,,7
krushna madane,Defender,Telugu Titans,9,6,,,6,6,0,0.67,,,,,,7
ashish kumar,All Rounder,Bengaluru Bulls,7,6,,1,3,5,0.17,0.71,,,2,,,7
abolfazl maghsodloumahali,Raider,Gujarat Fortune Giants,6,5,3,5,,,1,,1,,,,,7
jawahar dagar,Defender,Patna Pirates,7,5,,,5,5,,0.71,,,,,,7
lalit chaudhary,Raider,Gujarat Fortune Giants,4,5,1,2,2,3,0.5,,,,1,,,7
vijay kumar,Defender,Bengaluru Bulls,9,5,,,4,5,,0.56,,,1,,,7
harmanjit singh,Raider,Gujarat Fortune Giants,4,5,5,5,,,1.25,,,,,,,7
amit kumar,All Rounder,Patna Pirates,3,5,3,5,,,1.67,,,1,,,,7
ashish,Raider,Patna Pirates,7,5,3,5,,,0.71,,1,,,,,7
elavarasan a,Defender,Jaipur Pink Panthers,3,4,,,3,4,,1.33,,,1,,,7
mayur shivtarkar,All Rounder,Bengal Warriors,6,4,,,4,4,,0.67,,,,,,7
ajay,Defender,Bengaluru Bulls,9,4,1,2,2,2,,0.22,,,,,,7
aman kadian,Raider,Dabang Delhi,3,4,2,3,1,1,1,,,,,,,7
parveen,Defender,Haryana Steelers,6,4,,,3,4,,0.67,,,1,,,7
purna singh,Raider,Patna Pirates,6,4,3,4,,,0.8,,1,,,,,7
sachin kumar,All Rounder,UP Yoddha,12,4,,,3,4,0,0.33,,,1,,,7
gurvinder singh,Raider,Gujarat Fortune Giants,2,4,3,4,,,2,,,,,,,7
rakesh narwal,Raider,Bengal Warriors,1,3,1,3,,,,,,,,,,7
ponparthiban subramanian,Defender,Tamil Thalaivas,6,3,,,3,3,,0.5,,,,,,7
adarsh t,Defender,Bengal Warriors,9,3,,,3,3,,0.33,,,,,,7
himanshu,Defender,Tamil Thalaivas,3,3,1,2,1,1,,,,,,,,7
amit kharb,Defender,Gujarat Fortune Giants,5,3,,,2,3,,0.6,,,1,,,7
ravinder,All Rounder,Patna Pirates,5,3,,,2,3,,0.6,,,1,,,7
balram,All Rounder,Dabang Delhi,2,2,1,2,,,,,2,,,,,7
palle mallikarjun,Raider,Telugu Titans,3,2,2,2,,,0.67,,,,,,,7
gurdeep,All Rounder,UP Yoddha,2,2,,,2,2,,,,,,,,7
sandeep,All Rounder,Puneri Paltan,1,2,,,2,2,,2,,,,,,7
arun kumar hn,Raider,Haryana Steelers,2,2,1,2,,,,,,,,,,7
kamal singh,Raider,Telugu Titans,3,2,,,2,2,0,0.67,,,,,,7
yashwant bishnoi,Raider,Tamil Thalaivas,3,2,2,2,,,0.67,,,,,,,7
rajaguru subramanian,Defender,U Mumba,5,2,,,2,2,,0.4,,,,,,7
ravindra ramesh kumawat,Raider,Bengal Warriors,2,2,1,1,1,1,0.5,,,,,,,7
sombir,Defender,Dabang Delhi,8,1,,,1,1,,,,,,,,7
mohammad taghi paein mahali,Raider,Bengal Warriors,3,1,,,1,1,,,,,,,,7
satywan,Defender,Dabang Delhi,1,1,,,1,1,,,,,,,,7
ajinkya rohidas kapre,All Rounder,U Mumba,2,1,1,1,,,,,,,,,,7
naveen narwal,Defender,Bengal Warriors,3,1,,,1,1,,0.33,,,,,,7
sumit,Defender,Dabang Delhi,2,1,,,1,1,,,,,,,,7
vikas chhillar,Raider,Haryana Steelers,1,1,1,1,,,,,,,,,,7
aman,Defender,Bengaluru Bulls,2,1,,,1,1,,,,,,,,7
r. sriram,Raider,Puneri Paltan,1,,,,,,0,,,,,,,7
narender,All Rounder,UP Yoddha,3,,,,,,,0,,,,,,7
pawan kumar sehrawat,Raider,Bengaluru Bulls,24,282,209,271,11,11,11.29,0.46,29,12,,13,,6
pardeep narwal,Raider,Patna Pirates,21,233,185,233,,,11.1,,17,6,,15,,6
siddharth sirish desai,Raider,U Mumba,21,221,169,218,3,3,10.38,0.14,41,10,,12,,6
deepak niwas hooda,All Rounder,Jaipur Pink Panthers,22,208,162,196,11,12,8.91,0.55,23,4,1,10,1,6
maninder singh,Raider,Bengal Warriors,22,206,158,206,,,9.36,,34,6,,9,,6
ajay thakur,Raider,Tamil Thalaivas,22,204,177,203,1,1,9.23,0.05,33,3,,7,,6
sachin tanwar,Raider,Gujarat Fortune Giants,23,204,159,190,12,14,8.26,0.61,28,1,2,7,,6
vikash kandola,Raider,Haryana Steelers,22,177,136,172,5,5,7.82,0.23,20,5,,6,,6
naveen kumar,Raider,Dabang Delhi,22,177,144,172,4,5,7.82,0.23,26,3,1,8,,6
rohit kumar,Raider,Bengaluru Bulls,24,171,129,162,9,9,6.75,0.38,24,5,,5,1,6
rahul chaudhari,Raider,Telugu Titans,21,166,136,159,6,7,7.57,0.33,43,4,1,4,,6
monu goyat,Raider,Haryana Steelers,20,164,128,160,4,4,8,0.2,5,3,,10,,6
chandran ranjit,Raider,Dabang Delhi,24,158,127,153,4,5,6.38,0.21,16,3,1,3,,6
prashanth kumar rai,Raider,UP Yoddha,21,147,112,144,2,3,7.2,0.14,23,2,1,5,,6
shrikant jadhav,Raider,UP Yoddha,25,146,108,141,4,5,5.64,0.2,43,4,1,5,,6
k. prapanjan,Raider,Gujarat Fortune Giants,22,123,95,122,1,1,5.55,0.05,23,1,,4,,6
rohit baliyan,Raider,U Mumba,19,108,82,94,13,14,5.22,0.74,6,1,1,,,6
rishank devadiga,Raider,UP Yoddha,23,104,82,100,4,4,4.35,0.17,8,3,,1,,6
nitin tomar,Raider,Puneri Paltan,11,102,84,100,2,2,9.09,0.18,13,1,,4,,6
manjeet,Raider,Patna Pirates,22,102,76,87,14,15,3.95,0.68,17,3,1,2,,6
naveen,Raider,Haryana Steelers,21,102,71,88,12,14,4.19,0.67,18,4,2,1,,6
nitesh kumar,Defender,UP Yoddha,25,101,,1,92,100,0.17,4,,,8,,8,6
meraj sheykh,All Rounder,Dabang Delhi,19,97,71,94,3,3,4.95,0.16,25,6,,2,,6
more gb,Raider,Puneri Paltan,22,91,60,79,10,12,3.59,0.55,15,1,2,2,,6
parvesh bhainswal,Defender,Gujarat Fortune Giants,25,86,,,82,86,,3.44,,,4,,5,6
nilesh salunke,Raider,Telugu Titans,19,85,59,81,4,4,4.26,0.21,23,4,,,,6
kashiling adake,Raider,Bengaluru Bulls,20,84,51,67,15,17,3.35,0.85,12,3,2,1,,6
fazel atrachali,Defender,U Mumba,23,83,,,80,83,0,3.61,,,3,,6,6
jang kun lee,Raider,Bengal Warriors,18,82,61,79,2,3,4.39,0.17,7,2,1,2,,6
sunil kumar,Defender,Gujarat Fortune Giants,25,76,,,72,76,0,3.04,,,4,,3,6
ajinkya ashok pawar,Raider,Jaipur Pink Panthers,17,75,57,71,3,4,4.18,0.24,21,1,1,,,6
deepak narwal,Raider,Patna Pirates,17,74,55,70,4,4,4.12,0.24,9,1,,3,,6
vijay,All Rounder,Patna Pirates,21,73,50,60,12,13,3.16,0.62,3,,1,,,6
ran singh,All Rounder,Bengal Warriors,22,71,23,29,41,42,1.71,1.91,6,1,1,,,6
sukesh hegde,Raider,Tamil Thalaivas,17,71,51,68,2,3,4,0.18,14,3,1,,,6
sachin kumar,All Rounder,UP Yoddha,25,68,21,25,39,43,1.32,1.72,4,,4,,2,6
sandeep kumar dhull,Defender,Jaipur Pink Panthers,22,67,,,62,67,,3.05,,,5,,4,6
manjeet chhillar,All Rounder,Tamil Thalaivas,19,67,5,8,54,59,0.5,3.11,,,5,,2,6
sandeep narwal,All Rounder,Puneri Paltan,18,66,16,25,34,41,1.47,2.28,4,1,7,,1,6
mahender singh,Defender,Bengaluru Bulls,24,63,,,62,63,0,2.63,,,1,,6,6
surender singh,Defender,U Mumba,22,62,,,59,62,,2.82,,,3,,2,6
rohit gulia,All Rounder,Gujarat Fortune Giants,19,61,48,58,3,3,3.05,0.16,14,2,,,,6
vishal bhardwaj,Defender,Telugu Titans,17,60,,,51,60,0,3.53,,,9,,5,6
ravinder pahal,Defender,Dabang Delhi,22,59,,,56,59,,2.68,,,3,,4,6
jaideep,Defender,Patna Pirates,22,58,,,56,58,0,2.64,,,2,,4,6
po surjeet singh,Defender,Bengal Warriors,23,57,2,3,52,54,0.15,2.35,,,2,,4,6
monu,Raider,Puneri Paltan,14,57,38,45,10,12,3.21,0.86,14,1,2,,,6
girish maruti ernak,Defender,Puneri Paltan,20,57,,1,52,56,0.25,2.8,,,4,,4,6
mohsen maghsoudloujafari,All Rounder,Telugu Titans,19,56,25,29,25,27,1.53,1.42,4,,2,,,6
abozar mohajermighani,Defender,Telugu Titans,21,56,,,48,56,0,2.67,,,8,,4,6
athul ms,Raider,Tamil Thalaivas,19,56,46,55,1,1,3.06,0.05,6,,,,,6
abhishek singh,Raider,U Mumba,15,53,38,47,6,6,3.13,0.4,18,1,,2,,6
vinod kumar,All Rounder,U Mumba,17,51,15,22,25,29,1.29,1.71,5,,4,,2,6
amit hooda,Defender,Tamil Thalaivas,18,51,,2,45,49,,2.72,,,4,,4,6
joginder singh narwal,Defender,Dabang Delhi,22,51,,,47,51,,2.32,,,4,,1,6
anup kumar,Raider,Jaipur Pink Panthers,13,50,30,38,12,12,2.92,0.92,1,2,,,,6
darshan kadian,Raider,U Mumba,14,50,38,49,1,1,3.5,,14,1,,1,,6
kuldeep singh,Defender,Haryana Steelers,22,49,,,45,49,,2.23,,,4,,2,6
farhad rahimi milaghardan,All Rounder,Telugu Titans,22,47,17,22,21,25,1.29,1.14,3,,4,,1,6
ruturaj shivaji koravi,Defender,Gujarat Fortune Giants,23,47,,,44,47,,2.04,,,3,,1,6
mahesh goud,Raider,Bengal Warriors,10,46,26,38,8,8,3.8,0.8,11,3,,,,6
jasvir singh,Raider,Tamil Thalaivas,16,46,32,42,4,4,2.8,0.25,2,,,,,6
pawan kumar kadian,Raider,Dabang Delhi,13,45,32,45,,,3.46,,4,1,,,,6
ashish kumar,All Rounder,Bengaluru Bulls,24,45,3,5,37,40,0.29,1.67,,,3,,1,6
ravindra ramesh kumawat,Raider,Bengal Warriors,12,42,29,37,5,5,3.08,0.42,14,2,,,,6
narender,All Rounder,UP Yoddha,25,42,,,37,42,,1.68,,,5,,2,6
akshay jadhav,Raider,Puneri Paltan,18,41,25,28,12,13,1.56,0.72,5,1,1,,1,6
selvamani k,Raider,Jaipur Pink Panthers,15,41,27,38,3,3,2.71,0.2,9,3,,1,,6
sunil,Defender,Haryana Steelers,22,41,,,41,41,,1.86,,,,,2,6
ravi kumar,Defender,Puneri Paltan,22,40,,,33,40,,1.82,,,7,,2,6
jeeva kumar,Defender,UP Yoddha,19,40,,,36,40,,2.11,,,4,,1,6
dharmaraj cheralathan,Defender,U Mumba,22,40,,,37,40,0,1.82,,,3,,1,6
vikas kale,Defender,Patna Pirates,22,39,,,36,39,,1.77,,,3,,1,6
vishal mane,Defender,Dabang Delhi,22,38,,,36,38,,1.73,,,2,,3,6
rohit rana,Defender,U Mumba,19,38,,,37,38,,2,,,1,,2,6
sunil siddhgavali,Defender,Jaipur Pink Panthers,16,38,4,5,30,33,0.71,2.06,2,,3,,4,6
amit sheoran,Defender,Bengaluru Bulls,15,38,,,36,38,,2.53,,,2,,2,6
vikas jaglan,All Rounder,Patna Pirates,14,37,13,21,16,16,2.1,1.14,2,1,,,,6
deepak kumar dahiya,Raider,Puneri Paltan,11,34,26,31,2,3,2.82,0.27,3,1,1,1,,6
ajay kumar,Raider,Gujarat Fortune Giants,13,33,23,32,1,1,2.67,,4,1,,,,6
amit kumar,Raider,Jaipur Pink Panthers,17,33,10,12,20,21,1.09,1.24,5,1,1,,1,6
nitin rawal,All Rounder,Jaipur Pink Panthers,9,31,19,25,5,6,3.57,0.67,6,1,1,,,6
dong geon lee,Raider,Gujarat Fortune Giants,11,31,22,31,,,2.82,,,1,,1,,6
mohit chhillar,Defender,Jaipur Pink Panthers,14,31,,,28,31,,2.21,,,3,,,6
mahendra ganesh rajput,Raider,Gujarat Fortune Giants,13,30,18,28,2,2,2.15,0.15,,3,,,,6
anil kumar,Defender,Telugu Titans,18,30,,1,25,29,0.17,1.61,,,4,,,6
baldev singh,Defender,Bengal Warriors,18,28,,1,24,27,,1.5,,,3,,1,6
sachin vittala,Defender,Gujarat Fortune Giants,22,28,2,3,24,25,,1.14,,,1,,,6
parveen,Defender,Haryana Steelers,19,28,1,3,20,25,0.5,1.32,,,5,,1,6
sachin shingade,Defender,Haryana Steelers,19,25,,,23,25,,1.32,,,2,,,6
abolfazl maghsodloumahali,Raider,U Mumba,10,25,19,23,2,2,2.3,0.2,5,2,,,,6
mayur shivtarkar,All Rounder,Haryana Steelers,18,23,1,4,19,19,0.33,1.06,,,,,,6
jawahar dagar,Defender,Patna Pirates,15,23,1,3,17,20,,1.33,,,3,,2,6
azad singh,Raider,UP Yoddha,9,23,14,21,2,2,2.33,,6,1,,,,6
d. pradap,All Rounder,Tamil Thalaivas,13,22,5,9,12,13,1.13,1,4,,1,,,6
rinku narwal,Defender,Puneri Paltan,15,21,1,1,19,20,0.25,1.33,1,,1,,,6
amit nagar,Raider,Bengal Warriors,9,21,13,15,6,6,1.88,0.67,4,,,,,6
harish naik,Raider,Bengaluru Bulls,7,21,14,21,,,3,,,,,,,6
tushar patil,Raider,Patna Pirates,9,20,13,20,,,2.22,,4,,,,,6
rajesh narwal,All Rounder,Dabang Delhi,16,20,5,7,13,13,0.64,0.81,,,,,,6
raju lal choudhary,Defender,Bengaluru Bulls,16,20,,,20,20,,1.25,,,,,,6
hadi oshtorak,All Rounder,Gujarat Fortune Giants,13,18,4,6,12,12,1.2,0.92,3,,,,,6
sagar b krishna,All Rounder,UP Yoddha,20,18,,,17,18,0,0.9,,,1,,1,6
ponparthiban subramanian,Defender,Tamil Thalaivas,12,17,,,16,17,,1.42,,,1,,1,6
sandeep,Defender,Bengaluru Bulls,10,16,,,13,16,,1.6,,,3,,,6
cpo surjeet singh,Raider,Tamil Thalaivas,9,16,10,16,,,1.78,,4,1,,,,6
young chang ko,Defender,Jaipur Pink Panthers,13,15,,,11,15,,1.15,,,4,,1,6
sumit singh,Raider,Bengaluru Bulls,8,15,7,11,4,4,1.57,0.5,3,,,,,6
satpal,Defender,Dabang Delhi,12,15,,1,10,14,,1.17,,,4,,,6
manish,Defender,Patna Pirates,17,15,,,13,15,,0.88,,,2,,,6
kamal singh,Raider,Telugu Titans,8,15,7,13,1,2,2.17,0.25,3,,1,,,6
armaan,All Rounder,Telugu Titans,4,15,9,13,1,2,3.25,,4,1,1,1,,6
c manoj kumar,Defender,Telugu Titans,12,14,7,10,4,4,1.11,0.33,1,,,,,6
adarsh t,Defender,Bengal Warriors,10,14,1,2,9,12,,1.2,,,3,,,6
santhapanaselvam,All Rounder,Jaipur Pink Panthers,14,14,,,12,14,,1,,,2,,,6
rakshith,Raider,Telugu Titans,11,14,12,14,,,1.27,,3,,,,,6
rajesh mondal,Raider,Puneri Paltan,11,14,13,14,,,1.27,,7,,,,,6
shrikant tewthia,All Rounder,Bengal Warriors,8,13,2,3,10,10,0.75,1.25,,,,,,6
bhupender singh,All Rounder,Bengal Warriors,4,13,6,10,2,3,2.5,,6,1,1,,,6
sunil,Defender,Tamil Thalaivas,11,13,,,12,13,,1.18,,,1,,,6
anand patil,Raider,Jaipur Pink Panthers,7,13,9,13,,,1.86,,5,1,,,,6
ziaur rahman,Defender,Bengal Warriors,18,12,,,12,12,,0.67,,,,,,6
parvesh,Raider,Puneri Paltan,6,12,5,7,4,5,1.17,0.83,1,,1,,,6
krushna madane,Defender,Telugu Titans,6,12,1,1,11,11,,1.83,,,,,,6
shubham shinde,Defender,Puneri Paltan,10,12,,,9,12,0,1.2,,,3,,,6
kuldeep singh,All Rounder,Patna Pirates,7,10,,,8,10,,1.43,,,2,,,6
rakesh narwal,Raider,Bengal Warriors,6,10,5,9,1,1,1.5,,,1,,,,6
