Name,Profile,Team,Matches_Played,Total_points,Successful_raids,Raid_points,Successful_tackles,Tackle_points,Avg_raid_points,Avg_tackle_points,Do_or_Die_raid_points,Super_raids,Super_tackles,Super_10s,High_5s,Season
tae deok eom,All Rounder,Patna Pirates,9,4,1,2,1,2,0.67,0.22,1,,1,,,1
dovlet boshimov,Raider,Patna Pirates,2,4,3,4,,,,,1,,,,,1
parveen kumar,Defender,Bengal Warriors,8,3,,,2,3,,0.38,,,1,,,1
raju lal choudhary,Defender,Jaipur Pink Panthers,5,2,,,2,2,,0.4,,,,,,1
gokul shitole,Defender,Jaipur Pink Panthers,3,2,,,2,2,,0.67,,,,,,1
md. aruduzzaman munshi,Raider,U Mumba,5,2,2,2,,,,,,,,,,1
farhad kamal gharibi,Defender,Bengal Warriors,2,2,,,1,2,,,,,1,,,1
takamitsu kono,All Rounder,Dabang Delhi,1,2,1,1,1,1,,,,,,,,1
dong ju hong,All Rounder,Dabang Delhi,2,1,1,1,,,,,,,,,,1
atif waheed,All Rounder,Telugu Titans,3,1,,,1,1,,0.33,,,,,,1
sunil subhash lande,Defender,Puneri Paltan,4,1,,,1,1,,0.25,,,,,,1
somvir shekhar,Defender,Patna Pirates,6,,,,,,,0,,,,,,1
kiran a,Defender,Telugu Titans,4,,,,,,,0,,,,,,1
