player,matches_played,total_points_earned,Most points_in_a_match,not_out_percent,Total_Raids,Successful_Raids_percent,no_of_super_raids,super_10s,total_raid_points,avg_raid_points_per_match,no_of_super_tackles,high_5s,total_tackle_points,avg_tackle_per_match,total_tackles,tackle_strike_rate,season
dharmaraj cheralathan,15,38,5,93.75%,16,12.5,0,0,2,0.13,3,1,36,2.2,75,48%,7
dharmaraj cheralathan,22,40,6,95.45%,22,0,0,0,0,0,3,1,40,1.68,69,57.97%,6
dharmaraj cheralathan,18,25,4,100%,15,0,0,0,0,0,1,0,25,1.33,64,39.06%,5
dharmaraj cheralathan,14,41,9,100%,28,7.14,0,0,2,0.14,8,4,39,2.21,63,61.90%,4
dharmaraj cheralathan,14,37,8,80%,20,30,0,0,6,0.42,3,2,31,2,58,53.44%,3
dharmaraj cheralathan,15,61,9,95.23%,42,45.23,0,0,19,1.26,1,2,42,2.73,68,61.76%,2
dharmaraj cheralathan,16,52,7,93.54%,31,41.93,0,0,13,0.81,5,2,39,2.12,69,56.52%,1
mohit chhillar,108,284,8,90.62%,32,21.87,0,0,7,0.06,23,18,277,2.35,552,50.18%,All
mohit chhillar,17,37,5,100%,2,0,0,0,0,0,3,1,37,2,78,47.43%,7
mohit chhillar,14,31,4,75%,4,0,0,0,0,0,3,0,31,2,69,44.92%,6
mohit chhillar,20,42,7,88.88%,9,33.33,0,0,3,0.15,4,2,39,1.75,83,46.98%,5
mohit chhillar,14,50,8,87.50%,8,37.5,0,0,3,0.21,3,4,47,3.14,87,54.02%,4
mohit chhillar,13,46,6,100%,3,0,0,0,0,0,2,6,46,3.38,74,62.16%,3
mohit chhillar,14,42,5,100%,5,0,0,0,0,0,3,3,42,2.78,72,58.33%,2
mohit chhillar,16,36,8,100%,1,100,0,0,1,0.06,5,2,35,1.87,89,39.32%,1
sumit singh,31,60,7,69.40%,134,38.05,0,0,51,1.64,2,0,9,0.22,25,36%,All
sumit singh,14,36,7,67.07%,82,40.24,0,0,33,2.35,1,0,3,0.14,10,30%,7
sumit singh,8,15,4,77.77%,27,40.74,0,0,11,1.37,0,0,4,0.5,10,40%,6
sumit singh,4,0,0,60%,5,0,0,0,0,0,0,0,0,0,0,0,5
sumit singh,5,9,4,70%,20,35,0,0,7,1.4,1,0,2,0.2,5,40%,4
athul ms,36,100,8,62.44%,213,46.47,0,0,99,2.75,0,0,1,0.02,20,5%,All
athul ms,13,36,8,65.95%,94,38.29,0,0,36,2.76,0,0,0,0,3,0,7
athul ms,19,56,8,60%,105,52.38,0,0,55,2.89,0,0,1,0.05,16,6.25%,6
athul ms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
athul ms,4,8,7,57.14%,14,57.14,0,0,8,2,0,0,0,0,1,0,4
monu,51,142,7,75%,264,28.4,2,0,75,1.47,10,1,67,1.11,117,57.26%,All
monu,18,36,5,79.36%,63,17.46,0,0,11,0.61,7,0,25,1,40,62.50%,7
monu,14,57,7,70.16%,124,36.29,1,0,45,3.21,2,0,12,0.71,23,52.17%,6
monu,19,49,6,79.22%,77,24.67,1,0,19,1,1,1,30,1.52,54,55.55%,5
amit kumar,18,43,9,69.66%,89,28.08,1,0,25,1.38,1,0,18,0.94,40,45%,All
amit kumar,12,35,9,66.66%,60,28.33,0,0,17,1.41,1,0,18,1.41,37,48.64%,7
amit kumar,6,8,5,75.86%,29,27.58,1,0,8,1.33,0,0,0,0,3,0,6
vikas kale,57,95,6,90.90%,11,0,0,0,0,0,7,4,95,1.54,267,35.58%,All
vikas kale,16,35,6,66.66%,3,0,0,0,0,0,1,2,35,2.12,90,38.88%,7
vikas kale,22,39,5,100%,4,0,0,0,0,0,3,1,39,1.63,118,33.05%,6
vikas kale,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
vikas kale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
vikas kale,9,12,3,0,0,0,0,0,0,0,0,0,12,1.33,34,35.29%,3
vikas kale,8,9,5,100%,4,0,0,0,0,0,3,1,9,0.75,24,37.50%,2
ran singh,116,324,9,80.34%,229,42.79,4,0,98,0.84,12,4,226,1.84,469,48.18%,All
ran singh,17,35,4,69.23%,13,61.53,0,0,8,0.47,1,0,27,1.52,61,44.26%,7
ran singh,22,71,7,83.33%,72,40.27,1,0,29,1.31,1,0,42,1.86,88,47.72%,6
ran singh,23,64,7,81.48%,27,44.44,0,0,12,0.52,3,2,52,2.13,112,46.42%,5
ran singh,16,33,4,100%,9,55.55,0,0,5,0.31,1,0,28,1.68,62,45.16%,4
ran singh,14,41,5,75.43%,57,35.08,2,0,20,1.42,0,0,21,1.5,52,40.38%,3
ran singh,14,44,9,85.71%,35,37.14,0,0,13,0.92,4,1,31,1.92,53,58.49%,2
ran singh,10,36,8,68.75%,16,68.75,1,0,11,1.1,2,1,25,2.3,41,60.97%,1
abozar mohajermighani,61,156,6,92.10%,38,5.26,0,0,2,0.03,13,6,154,2.31,289,53.28%,All
abozar mohajermighani,16,34,4,66.66%,6,16.66,0,0,1,0.06,3,0,33,1.87,75,44%,7
abozar mohajermighani,21,56,6,100%,26,0,0,0,0,0,8,4,56,2.28,98,57.14%,6
